url,status,type,title,title_len,description,description_len,canonical,robots,noindex,nofollow,h1_count,h1,visible_h1,issues
https://mamapack.pl/sitemap_products_1.xml?from=9756449374541&to=10648635801933,200,other,,0,,0,,,False,False,0,,,"missing_title,missing_description,missing_canonical,missing_h1"
https://mamapack.pl/sitemap_pages_1.xml?from=126082220365&to=143115256141,200,other,,0,,0,,,False,False,0,,,"missing_title,missing_description,missing_canonical,missing_h1"
https://mamapack.pl/sitemap_collections_1.xml?from=616586740045&to=660840939853,200,other,,0,,0,,,False,False,0,,,"missing_title,missing_description,missing_canonical,missing_h1"
https://mamapack.pl/llms.txt,200,other,,0,,0,,,False,False,0,,,"missing_title,missing_description,missing_canonical,missing_h1"
https://mamapack.pl/llms-full.txt,200,other,,0,,0,,,False,False,0,,,"missing_title,missing_description,missing_canonical,missing_h1"
https://mamapack.pl/agents.md,200,other,,0,,0,,,False,False,0,,,"missing_title,missing_description,missing_canonical,missing_h1"
https://mamapack.pl/blogs/news,200,blog,News – mamapack,15,,0,https://mamapack.pl/blogs/news,,False,False,1,News,News,"short_title,missing_description"
https://mamapack.pl/blogs/przydatne-artykuly,200,blog,Przydatne artykuły – mamapack,29,,0,https://mamapack.pl/blogs/przydatne-artykuly,,False,False,1,Przydatne artykuły,Przydatne artykuły,missing_description
https://mamapack.pl/blogs/przydatne-artykuly/jak-prawidlowo-wybrac-torbe-do-szpitala-kompletny-przewodnik,200,blog,Jak prawidłowo wybrać torbę do szpitala: Kompletny przewodnik – mamapack,72,"Przygotowanie się do narodzin dziecka to wyjątkowy i emocjonujący moment dla każdej przyszłej mamy. Jednym z ważnych etapów przygotowań jest spakowanie torby do szpitala. W tym artykule opowiemy, jak prawidłowo wybrać torbę i co do niej włożyć, abyś miała przy sobie wszystko, co niezbędne dla siebie i Twojego nowo naro",320,https://mamapack.pl/blogs/przydatne-artykuly/jak-prawidlowo-wybrac-torbe-do-szpitala-kompletny-przewodnik,,False,False,1,Jak prawidłowo wybrać torbę do szpitala: Kompletny przewodnik,Jak prawidłowo wybrać torbę do szpitala: Kompletny przewodnik,"long_title,long_description"
https://mamapack.pl/blogs/przydatne-artykuly/10-rzeczy-o-ktorych-nie-pomyslalas-by-wlozyc-do-torby-do-szpitala,200,blog,"10 rzeczy, o których nie pomyślałaś, by włożyć do torby do szpitala – mamapack",78,"Przygotowanie do narodzin dziecka to nie tylko zbieranie ważnych i oczywistych rzeczy, ale również uwzględnienie drobnych przedmiotów, które mogą znacznie ułatwić pierwsze dni po narodzinach maluszka. Oto lista 10 nietypowych, ale niezwykle przydatnych przedmiotów, które warto dodać do Twojej torby do szpitala: Przenoś",320,https://mamapack.pl/blogs/przydatne-artykuly/10-rzeczy-o-ktorych-nie-pomyslalas-by-wlozyc-do-torby-do-szpitala,,False,False,1,"10 rzeczy, o których nie pomyślałaś, by włożyć do torby do szpitala","10 rzeczy, o których nie pomyślałaś, by włożyć do torby do szpitala","long_title,long_description"
https://mamapack.pl/blogs/przydatne-artykuly/dlaczego-wazne-jest-aby-miec-osobna-torbe-dla-mamy-i-dziecka-w-szpitalu,200,blog,"Dlaczego ważne jest, aby mieć osobną torbę dla mamy i dziecka w szpita – mamapack",81,"Przygotowanie do przyjścia na świat nowego członka rodziny to czas pełen emocji i oczekiwania. Jednym z kluczowych aspektów przygotowań jest spakowanie torby do szpitala. Choć może się wydawać, że jeden bagaż wystarczy dla obu, istnieje wiele przyczyn, dla których warto rozważyć spakowanie dwóch oddzielnych toreb – jed",320,https://mamapack.pl/blogs/przydatne-artykuly/dlaczego-wazne-jest-aby-miec-osobna-torbe-dla-mamy-i-dziecka-w-szpitalu,,False,False,1,"Dlaczego ważne jest, aby mieć osobną torbę dla mamy i dziecka w szpitalu","Dlaczego ważne jest, aby mieć osobną torbę dla mamy i dziecka w szpitalu","long_title,long_description"
https://mamapack.pl/blogs/przydatne-artykuly/pierwsza-kapiel-noworodka,200,blog,Pierwsza kąpiel dziecka – mamapack,34,"Pierwsza kąpiel noworodka to nie tylko ważny proces higieniczny, ale także wspaniała okazja do wzmocnienia więzi między rodzicami a ich dzieckiem. Przygotowanie i przeprowadzenie pierwszej kąpieli może wywołać wiele emocji, dlatego ważne jest, aby znać podstawowe zasady, które pomogą uczynić ten proces przyjemnym i",316,https://mamapack.pl/blogs/przydatne-artykuly/pierwsza-kapiel-noworodka,,False,False,1,Pierwsza kąpiel dziecka,Pierwsza kąpiel dziecka,long_description
https://mamapack.pl/blogs/przydatne-artykuly/smoczek-korzysci-czy-szkody-smoczek-przyjaciel-czy-wrog,200,blog,Smoczek: korzyści czy szkody? – mamapack,40,"Podawanie dziecku smoczka to temat, który budzi wiele kontrowersji. Niektórzy młodzi rodzice chętnie używają smoczka, aby uspokoić dziecko, inni z obawy przed rozwojem wad zgryzu i uzależnieniem rezygnują z jego używania. Spróbujmy zważyć wszystkie za i przeciw używania smoczka.    Aby dokładnie ocenić zalety i wady",317,https://mamapack.pl/blogs/przydatne-artykuly/smoczek-korzysci-czy-szkody-smoczek-przyjaciel-czy-wrog,,False,False,1,Smoczek: korzyści czy szkody?,Smoczek: korzyści czy szkody?,long_description
https://mamapack.pl/blogs/przydatne-artykuly/idealny-zestaw-pieluszek-jakie-i-ile-kupic-na-narodziny-dziecka,200,blog,Idealny zestaw pieluszek: jakie i ile kupić na narodziny dziecka – mamapack,75,"Przed narodzinami dziecka ważne jest przygotowanie odpowiedniej liczby pieluszek, aby zapewnić komfort i wygodę zarówno dla dziecka, jak i rodziców. Aby zdecydować, jakie pieluszki i w jakiej ilości zakupić, warto zrozumieć, jakie są ich rodzaje. Pieluszki flanelowe. Flanela to dość gęsta i ciepła tkanina, dlatego t",317,https://mamapack.pl/blogs/przydatne-artykuly/idealny-zestaw-pieluszek-jakie-i-ile-kupic-na-narodziny-dziecka,,False,False,1,Idealny zestaw pieluszek: jakie i ile kupić na narodziny dziecka,Idealny zestaw pieluszek: jakie i ile kupić na narodziny dziecka,"long_title,long_description"
https://mamapack.pl/blogs/przydatne-artykuly/pakujemy-torbe-do-szpitala-co-zabrac-ze-soba-dla-mamy,200,blog,Pakujemy torbę do szpitala: co zabrać ze sobą dla mamy? – mamapack,66,"Przygotowania do porodu to ważny etap, który wymaga uwagi do szczegółów. Jednym z istotnych aspektów jest odpowiednio spakowana torba do szpitala. Wszystkie niezbędne rzeczy najlepiej zebrać z wyprzedzeniem (3-4 tygodnie przed porodem), aby uniknąć paniki w krytycznym momencie. Lista niezbędnych rzeczy do szpitala j",317,https://mamapack.pl/blogs/przydatne-artykuly/pakujemy-torbe-do-szpitala-co-zabrac-ze-soba-dla-mamy,,False,False,1,Pakujemy torbę do szpitala: co zabrać ze sobą dla mamy?,Pakujemy torbę do szpitala: co zabrać ze sobą dla mamy?,long_description
https://mamapack.pl/blogs/przydatne-artykuly/pakujemy-torbe-do-szpitala-co-zabrac-ze-soba-dla-noworodka,200,blog,Pakujemy torbę do szpitala: co zabrać ze sobą dla noworodka? – mamapack,71,"Przygotowania do porodu to ważny etap, który wymaga uwagi do szczegółów. Jednym z istotnych aspektów jest odpowiednio spakowana torba do szpitala. Wszystkie niezbędne rzeczy najlepiej zebrać z wyprzedzeniem (3-4 tygodnie przed porodem), aby uniknąć paniki w krytycznym momencie. Lista niezbędnych rzeczy do szpitala jest",320,https://mamapack.pl/blogs/przydatne-artykuly/pakujemy-torbe-do-szpitala-co-zabrac-ze-soba-dla-noworodka,,False,False,1,Pakujemy torbę do szpitala: co zabrać ze sobą dla noworodka?,Pakujemy torbę do szpitala: co zabrać ze sobą dla noworodka?,"long_title,long_description"
https://mamapack.pl/blogs/przydatne-artykuly/lanolin,200,blog,LANOLINA – mamapack,19,"Maść z Lanoliną – Niezastąpiona Pomoc dla Mam Karmiących Piersią Kiedy młoda mama rozpoczyna swoją przygodę z karmieniem piersią, może napotkać różne trudności, w tym bolesne i popękane sutki. To normalny problem, który dotyka wiele kobiet, zwłaszcza w pierwszych tygodniach po porodzie. Na szczęście istnieje skuteczne",319,https://mamapack.pl/blogs/przydatne-artykuly/lanolin,,False,False,1,LANOLINA,LANOLINA,"short_title,long_description"
https://mamapack.pl/blogs/przydatne-artykuly/bliznieta-jak-spakowac-torbe-do-szpitala,200,blog,BLIŹNIĘTA- Jak Spakować Torbę do Szpitala? – mamapack,53,"﻿Torba do szpitala dla jednego dziecka i dla bliźniąt: główne różnice? Przygotowania do porodu są ważnym etapem, a jeśli oczekujesz bliźniąt, wymagają one jeszcze większej uwagi. Torba do szpitala dla jednego dziecka i dla bliźniąt różni się, co warto uwzględnić, aby zapewnić komfort zarówno mamie, jak i maluszkom. W t",320,https://mamapack.pl/blogs/przydatne-artykuly/bliznieta-jak-spakowac-torbe-do-szpitala,,False,False,1,BLIŹNIĘTA- Jak Spakować Torbę do Szpitala?,BLIŹNIĘTA- Jak Spakować Torbę do Szpitala?,long_description
https://mamapack.pl/,200,home,MamaPack - wyprawka do szpitala i produkty dla mamy i dziecka – mamapack,72,"Skompletuj z MamaPack wyprawkę do szpitala: produkty dla mamy i dziecka, higiena, pielęgnacja, karmienie, kąpiel oraz praktyczne akcesoria.",139,https://mamapack.pl/,,False,False,1,MamaPack - wyprawka do szpitala i pierwsze dni z dzieckiem,MamaPack - wyprawka do szpitala i pierwsze dni z dzieckiem,long_title
