title,handle,id,legacyResourceId,description_chars,description,has_center_width,has_max_width,has_heading,has_product_sample
Akcesoria dla mam,akcesoria-dla-mam,gid://shopify/Collection/631440703821,631440703821,343,"Na co zwrócić uwagę? Dodatkowe akcesoria dla mamy pomagają wygodnie przygotować pobyt w szpitalu i pierwsze dni po porodzie. Zastosowanie: wybierz rzeczy do higieny, organizacji i codziennego komfortu. Wygoda: stawiaj na produkty proste w użyciu i łatwe do spakowania. Pakowanie: sprawdź, czego brakuje w gotowej torbie albo na własnej liście.",True,True,True,True
Akcesoria do paznokci,pielegnacja-w-domu,gid://shopify/Collection/621645070669,621645070669,339,"Na co zwrócić uwagę? Akcesoria do paznokci pomagają bezpiecznie zadbać o delikatną pielęgnację niemowlęcia w domu. Bezpieczeństwo: wybieraj zaokrąglone końcówki i produkty dedykowane dzieciom. Wygoda: małe nożyczki, cążki lub pilniczek powinny dobrze leżeć w dłoni. Moment: najłatwiej pielęgnować paznokcie po kąpieli albo gdy dziecko śpi.",True,True,True,True
Butelki ze smoczkiem,smoczki-do-butelek-butelki,gid://shopify/Collection/621645005133,621645005133,345,"Na co zwrócić uwagę? Butelki i smoczki do butelek przydają się przy mleku odciągniętym, mieszance albo jako zapas w domu. Pojemność: dobierz butelkę do wieku dziecka i planowanego sposobu karmienia. Smoczek: sprawdź przepływ, kształt i materiał dopasowany do potrzeb maluszka. Higiena: wybieraj produkty łatwe do mycia, składania i sterylizacji.",True,True,True,True
Chusteczki nawilżane,wlokniaste-chusteczki,gid://shopify/Collection/621644349773,621644349773,336,"Na co zwrócić uwagę? Chusteczki nawilżane pomagają szybko odświeżyć skórę dziecka między kąpielami i przy zmianie pieluszki. Skład: najlepiej wybierać wersje bezzapachowe i łagodne dla skóry. Zastosowanie: przydają się do fałdek, buzi i okolic pieluszki poza pełną kąpielą. Delikatność: po użyciu warto osuszyć skórę miękkim ręcznikiem.",True,True,True,True
Dla dziecka,forbaby,gid://shopify/Collection/616586740045,616586740045,331,"Na co zwrócić uwagę? Produkty dla dziecka pomagają skompletować codzienną pielęgnację, higienę i najważniejsze akcesoria. Pielęgnacja: wybieraj delikatne produkty odpowiednie od pierwszych dni. Praktyczność: sprawdź rzeczy do kąpieli, przewijania, karmienia i spaceru. Dobór: dopasuj produkty do wieku dziecka i aktualnych potrzeb.",True,True,True,True
Dla mamy,formam,gid://shopify/Collection/616586772813,616586772813,334,"Na co zwrócić uwagę? Produkty dla mamy wspierają komfort, higienę i codzienną pielęgnację w wymagającym czasie. Komfort: wybieraj rzeczy, które ułatwiają pobyt w szpitalu i pierwsze dni w domu. Higiena: zadbaj o produkty do pielęgnacji intymnej, piersi i ciała. Pakowanie: uzupełnij torbę o drobiazgi, które realnie poprawiają wygodę.",True,True,True,True
Dziecięca chemia gospodarcza,dziecieca-chemia-gospodarcza,gid://shopify/Collection/621645103437,621645103437,328,"Na co zwrócić uwagę? Delikatne środki do prania pomagają przygotować ubranka, pieluszki i tekstylia dziecięce przed użyciem. Skład: wybieraj produkty przeznaczone dla dzieci i wrażliwej skóry. Pranie: wypierz rzeczy wcześniej, zgodnie z zaleceniami na metce. Zapas: warto mieć środek do regularnego prania już od pierwszych dni.",True,True,True,True
Gotowe torby do szpitala,gotowe-torby-do-szpitala,gid://shopify/Collection/660530626893,660530626893,353,"Na co zwrócić uwagę? Gotowe torby do szpitala pomagają szybko przygotować najważniejsze rzeczy dla mamy, dziecka albo obu razem. Zakres: wybierz zestaw podstawowy, rozszerzony, kompletny albo premium. Zawartość: sprawdź listę produktów i dopasuj ją do wymagań szpitala. Termin: torbę najlepiej mieć gotową wcześniej, bez kompletowania na ostatni moment.",True,True,True,True
Gumowe klapki / Skarpetki,gumowe-klapki,gid://shopify/Collection/632003035469,632003035469,316,"Na co zwrócić uwagę? Klapki i skarpetki zwiększają komfort mamy podczas pobytu w szpitalu i po porodzie. Klapki: przydadzą się pod prysznic, na oddziale i do szybkiego zakładania. Skarpetki: warto mieć miękką parę na chłodniejsze dni i odpoczynek. Materiał: stawiaj na wygodę, lekkość i łatwe utrzymanie w czystości.",True,True,True,True
Higiena intymna,higiena-intymna,gid://shopify/Collection/621642776909,621642776909,327,"Na co zwrócić uwagę? Produkty do higieny intymnej pomagają zadbać o delikatną pielęgnację w szpitalu i w połogu. Skład: wybieraj łagodne formuły bez drażniących dodatków. Użycie: przydają się po skorzystaniu z toalety i przy codziennej pielęgnacji. Komfort: butelka peri, chusteczki lub delikatny płyn mogą ułatwić regenerację.",True,True,True,True
Kosmetyki dla mam,kosmetyki-dla-mam,gid://shopify/Collection/654797570381,654797570381,328,"Na co zwrócić uwagę? Kosmetyki dla mam wspierają codzienną pielęgnację skóry, włosów i ciała w czasie macierzyństwa. Skład: wybieraj produkty łagodne, sprawdzone i przyjemne w codziennym użyciu. Szybkość: postaw na kosmetyki, które łatwo włączyć w krótką rutynę. Dobór: dopasuj pielęgnację do skóry, włosów i aktualnych potrzeb.",True,True,True,True
Koszule nocne,szlafroki-i-koszule-nocne,gid://shopify/Collection/621642547533,621642547533,310,"Na co zwrócić uwagę? Koszule nocne do porodu i karmienia powinny być wygodne, luźne i praktyczne. Krój: wybierz fason, który nie krępuje ruchów i ułatwia karmienie. Materiał: najlepiej sprawdzają się tkaniny miękkie, oddychające i naturalne. Ilość: warto przygotować jedną koszulę na poród i jedną po porodzie.",True,True,True,True
Krem/mleczko/olejek dla dzieci,krem-mleczko-olejek-dla-dzieci,gid://shopify/Collection/621644579149,621644579149,336,"Na co zwrócić uwagę? Kremy, mleczka i olejki pomagają chronić oraz nawilżać delikatną skórę dziecka od pierwszych dni. Skład: szukaj produktów łagodnych, najlepiej bezzapachowych i hipoalergicznych. Stosowanie: nakładaj po kąpieli albo miejscowo na suche partie skóry. Dobór: wybierz formułę dopasowaną do wieku dziecka i potrzeb skóry.",True,True,True,True
Krem/prysypka pod pieluchę,krem-prysypka-pod-pieluche,gid://shopify/Collection/621644513613,621644513613,310,"Na co zwrócić uwagę? Produkty pod pieluszkę wspierają ochronę skóry przed wilgocią, otarciami i odparzeniami. Aplikacja: nakładaj cienką warstwę na czystą i suchą skórę. Higiena: przy zmianie pieluszki delikatnie oczyszczaj skórę dziecka. Wietrzenie: zostawiaj skórę na chwilę odkrytą, gdy jest taka możliwość.",True,True,True,True
Laktatory,laktatory,gid://shopify/Collection/654799274317,654799274317,341,"Na co zwrócić uwagę? Laktatory ręczne i elektryczne pomagają odciągać mleko oraz lepiej zorganizować karmienie. Rodzaj: wybierz model ręczny lub elektryczny zależnie od częstotliwości użycia. Zastosowanie: laktator przydaje się przy zapasie mleka, nawale lub powrocie do pracy. Wygoda: zwróć uwagę na łatwe mycie, montaż i dostępność części.",True,True,True,True
Leżaczki do wanny,lezaczki-do-wanny,gid://shopify/Collection/660498415949,660498415949,339,"Na co zwrócić uwagę? Leżaczki do wanny ułatwiają wygodniejsze podtrzymanie dziecka podczas codziennej kąpieli. Dopasowanie: sprawdź wiek, wagę i rozmiar dziecka podany przez producenta. Stabilność: wybieraj modele dobrze leżące w wanience i antypoślizgowe. Czyszczenie: postaw na materiał, który szybko schnie i łatwo utrzymać w czystości.",True,True,True,True
Majtki poporodowe,jednorazowe-majtki,gid://shopify/Collection/621642383693,621642383693,317,"Na co zwrócić uwagę? Majtki poporodowe pomagają wygodnie utrzymać duże wkładki i zwiększają komfort po porodzie. Materiał: wybieraj oddychające tkaniny delikatne dla skóry. Rozmiar: majtek nie powinno uciskać, zwłaszcza po cesarskim cięciu. Rodzaj: sprawdź, czy wolisz wersję jednorazową, siateczkową czy wielorazową.",True,True,True,True
Osłonki laktacyjne,oslonki-laktacyjne,gid://shopify/Collection/621644185933,621644185933,315,"Na co zwrócić uwagę? Osłonki laktacyjne mogą pomóc przy bolesnych brodawkach i trudnościach z przystawieniem dziecka. Rozmiar: dobierz osłonkę do brodawki, aby karmienie było wygodniejsze. Materiał: najczęściej sprawdza się cienki, miękki silikon. Użycie: stosuj osłonki zgodnie z potrzebą i dbaj o regularne mycie.",True,True,True,True
Pielęgnacja piersi (Lanolina),pielegnacja-piersi,gid://shopify/Collection/621642711373,621642711373,330,Na co zwrócić uwagę? Produkty do pielęgnacji piersi wspierają skórę brodawek podczas karmienia i na początku laktacji. Skład: lanolina i łagodne formuły pomagają chronić podrażnioną skórę. Stosowanie: nakładaj cienką warstwę zgodnie z zaleceniami produktu. Wsparcie: przy większym dyskomforcie mogą pomóc także osłonki laktacyjne.,True,True,True,True
Pieluszki jednorazowe (Pampersy),podguzniki,gid://shopify/Collection/621644251469,621644251469,320,"Na co zwrócić uwagę? Pieluszki jednorazowe dla noworodka przydają się od pierwszych dni, w domu i w szpitalu. Rozmiar: najczęściej wybiera się rozmiar 1, a dla wcześniaków rozmiar 0. Zużycie: w pierwszych dniach pieluszki zmienia się często, po każdym zabrudzeniu. Zapas: do szpitala wygodnie zabrać mniejsze opakowanie.",True,True,True,True
Pieluszki tkaninowe,pieluchy-reczniki-koce,gid://shopify/Collection/621644841293,621644841293,317,"Na co zwrócić uwagę? Pieluszki tetrowe, muślinowe, flanelowe i bambusowe są praktyczne przy karmieniu i pielęgnacji. Materiał: wybierz tkaninę miękką, chłonną i przyjemną dla skóry. Ilość: warto mieć kilka sztuk na zmianę w domu i poza domem. Zastosowanie: przydają się do przewijania, odbijania, osłony i po kąpieli.",True,True,True,True
Podkłady higieniczne,podklady-higieniczne,gid://shopify/Collection/627594527053,627594527053,311,"Na co zwrócić uwagę? Podkłady higieniczne chronią łóżko, pościel i przewijak przed zabrudzeniami. Chłonność: wybieraj podkłady z nieprzemakalnym spodem i dobrą absorpcją. Zastosowanie: przydają się przy porodzie, w połogu i przy przewijaniu dziecka. Zapas: warto mieć kilka sztuk w torbie oraz dodatkowe w domu.",True,True,True,True
Podpaski poporodowe,higieniczne-wkladki,gid://shopify/Collection/621642285389,621642285389,332,"Na co zwrócić uwagę? Wkładki i podpaski poporodowe są potrzebne w pierwszych dniach po porodzie, gdy krwawienie jest obfitsze. Chłonność: wybieraj modele większe niż standardowe podpaski. Komfort: oddychające materiały i anatomiczny kształt ułatwiają noszenie. Ilość: najczęściej warto przygotować jedno lub dwa opakowania na start.",True,True,True,True
Produkty papierowe,produkty-papierowe,gid://shopify/Collection/621643268429,621643268429,327,"Na co zwrócić uwagę? Produkty papierowe pomagają zadbać o higienę i wygodę w szpitalu, w podróży oraz w domu. Podstawy: przygotuj papier, chusteczki, ręczniki papierowe i nakładki. Delikatność: wybieraj produkty łagodne dla skóry i bez mocnych zapachów. Użycie: pamiętaj, że nie wszystkie chusteczki i nakładki można spłukiwać.",True,True,True,True
"Płatki, patyczki kosmetyczne (produkty z waty)",produkty-z-waty,gid://shopify/Collection/621644874061,621644874061,312,"Na co zwrócić uwagę? Produkty z waty przydają się do delikatnej pielęgnacji buzi, fałdek skóry i okolic pępka. Delikatność: wybieraj miękkie waciki i bezpieczne patyczki. Zastosowanie: sprawdzą się przy soli fizjologicznej i codziennym przemywaniu. Zapas: warto mieć je pod ręką w domu, torbie i przy przewijaku.",True,True,True,True
Razem taniej,razem-taniej,gid://shopify/Collection/660532199757,660532199757,482,"Na co zwrócić uwagę? Promocyjne pakiety MamaPack łączą kilka pasujących produktów w jeden komplet w lepszej cenie niż osobno. To szybki sposób na wygodny wybór bez kompletowania każdej pozycji osobno. Zawartość: sprawdź, co dokładnie znajduje się w pakiecie. Oszczędność: komplet powinien być korzystniejszy niż zakup osobno. Temat: wybierz zestaw do codziennych zakupów, pielęgnacji, higieny albo okazji. Dostępność: oferta może się zmieniać, więc sprawdź aktualną listę produktów.",True,True,True,True
Ręczniki do kąpieli,reczniki-do-kapieli,gid://shopify/Collection/627599245645,627599245645,311,"Na co zwrócić uwagę? Ręczniki do kąpieli, szczególnie z kapturem, pomagają szybko osuszyć i otulić dziecko po kąpieli. Materiał: wybieraj miękkie i chłonne tkaniny delikatne dla skóry. Rozmiar: ręcznik powinien wygodnie otulić dziecko po wyjęciu z wody. Wygoda: kapturek pomaga osuszyć główkę i utrzymać ciepło.",True,True,True,True
Rożki / kocyki,kocyki,gid://shopify/Collection/627599278413,627599278413,323,"Na co zwrócić uwagę? Rożki i kocyki pomagają zapewnić dziecku ciepło, otulenie i poczucie bezpieczeństwa od pierwszych dni. Materiał: stawiaj na miękkie, oddychające tkaniny przyjemne dla skóry. Sezon: dobierz grubość do pory roku i temperatury w domu. Zastosowanie: kocyk przyda się w łóżeczku, wózku i podczas odpoczynku.",True,True,True,True
Smoczki,smoczki,gid://shopify/Collection/621644939597,621644939597,311,"Na co zwrócić uwagę? Smoczki mogą pomagać w uspokojeniu dziecka podczas spaceru, wizyty lub codziennych chwil poza karmieniem. Wiek: dobierz smoczek do etapu rozwoju dziecka. Kształt: sprawdź profil, rozmiar tarczki i materiał części ssącej. Higiena: regularnie myj smoczek i wymieniaj go zgodnie z zaleceniami.",True,True,True,True
Sól fizjologiczna / aspiratory do nosa,sol-fizjologiczna-aspiratory-do-nosa,gid://shopify/Collection/654960165197,654960165197,316,Na co zwrócić uwagę? Sól fizjologiczna i aspiratory pomagają delikatnie oczyścić nosek oraz przemywać okolice oczu. Wiek: wybieraj produkty odpowiednie dla niemowląt od pierwszych dni. Końcówka: aspirator powinien być bezpieczny i wygodny w czyszczeniu. Zapas: ampułki soli fizjologicznej warto mieć zawsze pod ręką.,True,True,True,True
Szczotki i grzebienie,szczotki-i-grzebienie,gid://shopify/Collection/654840627533,654840627533,340,"Na co zwrócić uwagę? Szczotki i grzebienie dla niemowląt pomagają delikatnie pielęgnować włosy oraz skórę główki. Włosie: wybieraj bardzo miękką szczotkę, najlepiej z naturalnym włosiem. Kształt: grzebień powinien mieć zaokrąglone ząbki bez ostrych krawędzi. Użycie: sprawdzą się po kąpieli, rano i przy delikatnej pielęgnacji ciemieniuchy.",True,True,True,True
Szlafroki,szlafroki,gid://shopify/Collection/628621017421,628621017421,305,"Na co zwrócić uwagę? Szlafrok dla mamy powinien być wygodny, oddychający i praktyczny podczas pobytu w szpitalu. Materiał: najlepiej sprawdzają się miękkie tkaniny, np. bawełna. Krój: wybierz model łatwy do założenia i wygodny po porodzie. Karmienie: luźny fason ułatwia opiekę nad dzieckiem i odpoczynek.",True,True,True,True
Termometry,termometry-i-aspiratory-do-nosa,gid://shopify/Collection/654840496461,654840496461,302,Na co zwrócić uwagę? Termometr pozwala szybko kontrolować temperaturę dziecka i mieć pod ręką podstawowe narzędzie opieki. Pomiar: zwróć uwagę na dokładność i krótki czas odczytu. Czytelność: duży wyświetlacz ułatwia użycie także nocą. Wygoda: wybierz model prosty w obsłudze i łatwy do przechowywania.,True,True,True,True
Top do karmienia,top-do-karmienia-majtki,gid://shopify/Collection/621642645837,621642645837,318,Na co zwrócić uwagę? Top do karmienia zapewnia podtrzymanie biustu i szybki dostęp podczas pierwszych tygodni laktacji. Rozmiar: materiał powinien dopasowywać się do zmieniającego się biustu. Komfort: wybieraj miękkie tkaniny bez drażniących szwów. Ilość: do szpitala i domu warto przygotować przynajmniej dwie sztuki.,True,True,True,True
Torebki,torebki,gid://shopify/Collection/621642481997,621642481997,327,"Na co zwrócić uwagę? Przezroczyste torebki pomagają posegregować rzeczy i szybko znaleźć potrzebne produkty w torbie. Rozmiar: dobierz małe i średnie torebki do kosmetyków, ubranek i akcesoriów. Widoczność: przezroczysty materiał ułatwia kontrolę zawartości. Pakowanie: posegregowane rzeczy łatwiej spakować i wyjąć w szpitalu.",True,True,True,True
Wanienki dla dzieci,wanienki-dla-dzieci,gid://shopify/Collection/660457816397,660457816397,328,"Na co zwrócić uwagę? Wanienki dla dzieci powinny być stabilne, wygodne i dopasowane do wieku dziecka oraz miejsca w łazience. Rozmiar: wybierz model 86 cm, 102 cm albo składany zależnie od przestrzeni. Wygoda: odpływ i stabilny kształt ułatwiają codzienną kąpiel. Wariant: kolor i model dopasuj do potrzeb dziecka oraz łazienki.",True,True,True,True
Wkładki laktacyjne,wkladki-laktacyjne,gid://shopify/Collection/621642678605,621642678605,327,"Na co zwrócić uwagę? Wkładki laktacyjne chronią bieliznę i ubrania przed przemoczeniem w czasie laktacji. Chłonność: wybieraj wkładki miękkie, oddychające i dobrze absorbujące wilgoć. Mocowanie: klej pomaga utrzymać wkładkę na miejscu przez dłuższy czas. Higiena: wymieniaj wkładki często i dbaj o regularną pielęgnację piersi.",True,True,True,True
Zabawa i edukacja,zabawa-i-edukacja,gid://shopify/Collection/654841446733,654841446733,331,"Na co zwrócić uwagę? Produkty do zabawy i edukacji wspierają rozwój dziecka oraz urozmaicają codzienne aktywności. Wiek: dopasuj produkt do etapu rozwoju i umiejętności dziecka. Bezpieczeństwo: sprawdź materiały, rozmiar elementów i zalecenia producenta. Cel: wybieraj rzeczy wspierające ruch, zmysły, koncentrację albo wyciszenie.",True,True,True,True
"Żele, mydła, szampony",zele-mydla-szampony,gid://shopify/Collection/621644415309,621644415309,337,"Na co zwrócić uwagę? Żele, mydła i szampony dla dzieci pomagają delikatnie oczyszczać skórę i włosy od pierwszych dni. Skład: wybieraj łagodne formuły bez mocnych zapachów i drażniących dodatków. Stosowanie: na co dzień często wystarczy niewielka ilość produktu. Delikatność: po kąpieli obserwuj skórę i dobieraj kosmetyk do jej potrzeb.",True,True,True,True
